"","weekday_sun","temp","dewp","NUM_COLLISIONS"
"135",2,54.6,45.2,0.346260387811634
"136",1,56.3,49.4,0.451523545706371
"137",3,57.5,54.5,0.764542936288089
"138",4,58,55.5,0.875346260387812
"139",5,57.8,55.1,0.523545706371191
"140",6,61.5,57.6,0.980609418282548
"141",7,61,58.7,0.795013850415512
"142",2,55.6,52.3,0.368421052631579
"143",1,50.2,41.8,0.204986149584488
"144",3,56.9,42.8,0.10803324099723
"145",4,56.6,49.6,0.844875346260388
"146",5,57.9,54.7,0.534626038781163
"147",6,60.9,56.2,0.842105263157895
"148",7,62,56.8,0.983379501385042
"149",2,60.9,57,0.692520775623269
"150",1,61.8,58.6,0.293628808864266
"151",3,60.8,59.8,0.903047091412742
"152",4,61.8,51,0.642659279778393
"153",5,58.6,45.6,0.60387811634349
"154",6,58.6,51,0.620498614958449
"155",2,62.3,59.6,0.526315789473684
"156",1,63.6,57.2,0.421052631578947
"157",3,62.2,56.1,0.673130193905817
"158",4,60.8,59.5,0.703601108033241
"159",5,64,55.9,0.64819944598338
"160",6,60.8,52.4,0.42382271468144
"161",7,55,50.7,0.864265927977839
"162",2,62.4,52.3,0.595567867036011
"163",1,61.3,57,0.265927977839335
"164",3,63.2,59.2,0.645429362880886
"165",4,60.9,58.6,0.642659279778393
"166",5,62.6,54.4,0.667590027700831
"167",6,60.6,53.1,0.831024930747922
"168",7,62,56.1,0.85595567867036
"169",2,63.4,58.5,0.60387811634349
"170",1,64.9,60.9,0.343490304709141
"171",3,66.8,64.5,0.828254847645429
"172",4,69.7,63.8,0.739612188365651
"173",5,69.5,64.6,0.664819944598338
"174",6,65.5,64,0.601108033240997
"175",7,66.1,64.8,0.628808864265928
"176",2,66.2,64.9,0.581717451523546
"177",1,65.4,64.2,0.116343490304709
"178",3,66.7,65.3,0.698060941828255
"179",4,67.7,65.5,0.609418282548476
"180",5,68.7,67.2,0.703601108033241
"181",6,69.8,68,0.157894736842105
"182",7,71.6,68.2,0.54016620498615
"183",2,73,69.2,0.373961218836565
"184",1,74.4,69.8,0.260387811634349
"185",3,72.6,68.9,0.653739612188366
"186",4,72.7,69.3,0.559556786703601
"187",5,71.1,69.7,0.645429362880886
"188",6,71.8,69.7,0.46814404432133
"189",7,69.4,67.8,0.60387811634349
"190",2,67.9,66.3,0.537396121883656
"191",1,72.9,70.5,0.249307479224377
"192",3,76.3,71.2,0.554016620498615
"193",4,77.4,68.4,0.556786703601108
"194",5,72.9,65.8,0.631578947368421
"195",6,75.6,69.6,0.706371191135734
"196",7,73.9,71.4,0.875346260387812
"197",2,74.5,71.7,0.470914127423823
"198",1,72.8,69.1,0.182825484764543
"199",3,68.3,65.9,0.581717451523546
"200",4,72.1,70,0.526315789473684
"201",5,74.9,71.6,0.526315789473684
"202",6,67.7,62.8,0.349030470914127
"203",7,66.1,64.4,0.653739612188366
"204",2,69.1,66.1,0.373961218836565
"205",1,69.8,68,0.28808864265928
"206",3,69.2,67.1,0.598337950138504
"207",4,71.2,64.3,0.562326869806094
"208",5,70.6,62.6,0.476454293628809
"209",6,68.9,64.7,0.725761772853186
"210",7,69.7,66,0.678670360110803
"211",2,69.3,66.1,0.307479224376731
"212",1,69.4,61.9,0.202216066481994
"213",3,68.1,54.5,0.454293628808864
"214",4,66.2,54.5,0.448753462603878
"215",5,64.5,55.9,0.351800554016621
"216",6,67.8,64,0.465373961218837
"217",7,70.7,68.8,0.548476454293629
"218",2,72.4,66.5,0.315789473684211
