"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","Autumn","Spring","Summer","Winter","mxpsd","dewp","prcp","gust","year","temp","wdsp","sndp","fog","NUM_COLLISIONS"
"1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,21,25.6,0,28,2013,38,15,0,0,0
"2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,15.9,12.1,0,25.1,2013,27.5,12.4,0,0,0.27887323943662
"3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,18.1,7.8,0,24.1,2013,21.8,9.8,0,0,0.473239436619718
"4",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,22,21.1,0,29.9,2013,32.2,11.3,0,0,0.349295774647887
"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,20,24.5,0,28,2013,37.3,13.2,0,0,0.0225352112676056
"6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,15,31.3,0.01,20,2013,35.7,5.9,0,0,0.0338028169014084
"7",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,17.1,31,0.01,22,2013,35.9,8.5,0,0,0.394366197183099
"8",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,17.1,34.1,0,25.1,2013,39.8,10.4,0,0,0.371830985915493
"9",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,11.1,37.6,0,0,2013,39.9,5.3,0,1,0.298591549295775
"10",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,21,30.4,0,32.1,2013,43.5,14.7,0,0,0.490140845070423
"11",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,11.1,31.4,0,0,2013,38,5.4,0,0,0.785915492957746
"12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,13,41.5,0.17,20,2013,42.7,7.9,0,0,0.264788732394366
"13",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,15.9,47.1,0,21,2013,47.2,8.2,0,1,0.453521126760563
"14",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15,38.3,0.24,0,2013,42.3,8,0,0,0.380281690140845
"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,21,40,0.35,27,2013,41.6,8.8,0,0,0.554929577464789
"16",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,14,34.6,0.47,20,2013,39.4,8.6,0,1,0.309859154929577
"17",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,24.1,16.6,0.01,32.1,2013,28.1,15,0,1,0.507042253521127
"18",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,24.1,26.6,0,32.1,2013,35.9,15.3,0,0,0.290140845070423
"19",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,20,41.2,0,26,2013,46.3,14.9,0,0,0.0338028169014084
"20",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,20,18.1,0.14,26,2013,26.3,10.8,0,1,0.459154929577465
"21",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,21,-1.1,0.01,28.9,2013,16.2,15.6,0,0,0.461971830985915
"22",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,22.9,-1.9,0,29.9,2013,14.3,15.5,0,0,0.487323943661972
"23",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,21,3.3,0,32.1,2013,19,13.6,0,0,0.825352112676056
"24",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15.9,16.6,0,19,2013,24.4,10.5,1.2,0,0.498591549295775
"25",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,22.9,4.7,0,35,2013,21.7,16.3,1.2,0,0.135211267605634
"26",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,14,10.8,0,20,2013,27.3,7.4,0,0,0.354929577464789
"27",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9.9,34.9,0.08,0,2013,35.4,4.9,0,1,0.453521126760563
"28",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,19,44,0.03,25.1,2013,45.1,12.4,0,1,0.326760563380282
"29",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,28,40.3,0.02,39,2013,46.5,23.1,0,1,0.594366197183099
"30",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,27,15.5,0.23,38.1,2013,33.1,18.2,0,0,0.543661971830986
"31",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,19,10.4,0,26,2013,27.6,12.5,0,0,0.430985915492958
"32",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,17.1,24.5,0.01,22.9,2013,30.7,9.8,1.2,0,0.180281690140845
"33",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,20,16.9,0,28,2013,29,15.5,1.2,0,0.484507042253521
"34",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,14,16.6,0,18.1,2013,28.7,8.2,0,0,0.52112676056338
"35",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,13,30.4,0.02,17.1,2013,34.8,6.1,0,0,0.52112676056338
"36",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,14,13.4,0,19,2013,29.4,10.2,0,0,0.408450704225352
"37",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,36.9,28.5,0,51.1,2013,34.3,16.3,0,0,0.907042253521127
"38",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,49,25.8,1.64,63.9,2013,29.2,35.3,5.9,1,0.0619718309859155
"39",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,25.1,14.7,0.06,36.9,2013,24.7,16.4,5.1,0,0.0535211267605634
"40",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,21,32,0,28.9,2013,36.4,9.8,3.1,0,0.264788732394366
"41",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,18.1,36.6,0.36,27,2013,41.4,11.9,1.2,1,0.329577464788732
"42",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,15,25.2,0,0,2013,36.1,7.7,2,0,0.532394366197183
"43",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,15.9,29.3,0.11,21,2013,36.6,8.9,0,0,0.704225352112676
"44",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,11.1,33.2,0,0,2013,38.6,6,0,0,0.628169014084507
"45",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,17.1,35.8,0,21,2013,39.2,8.6,0,1,0.191549295774648
"46",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,34,25.6,0.01,49.9,2013,30.9,23.6,0,1,0.185915492957746
"47",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,28,7.6,0,36.9,2013,24.6,22,0,0,0.047887323943662
"48",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15.9,25.4,0,26,2013,36.7,10.6,0,0,0.270422535211268
