"","weekday_sat","weekday_sun","dayindex","dayofyear","day","year","mo","da","collision_date","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","fog","NUM_COLLISIONS","season","sndp"
"1",1,2,1755,294,6,2017,10,21,"2017-10-21",58.8,50.3,1024.1,10,7,12,0,68,46.9,0,0,0.403189066059225,3,0
"2",5,5,1472,11,3,2017,1,11,"2017-01-11",45,40.9,1027.3,6.5,15.1,27,34,50,28.9,0.33,0,0.507972665148064,1,1.2
"3",5,5,786,56,3,2015,2,25,"2015-02-25",29.9,21.8,1009.4,7.9,12.4,20,27,33.8,23,0.02,0,0.60752688172043,1,2
"4",4,4,603,238,2,2014,8,26,"2014-08-26",63,56,1021.1,10,3.5,8.9,0,72,53.1,0,0,0.631147540983607,4,0
"5",6,6,927,197,4,2015,7,16,"2015-07-16",67.3,57.3,1013.9,9.2,16.6,22,28,82,60.1,0,0,0.763440860215054,4,0
