"","weekday_sun","season","temp","dewp","NUM_COLLISIONS"
"123",3,2,49.2,43.4,0.507042253521127
"124",4,2,54.4,49.9,0.594366197183099
"125",5,2,59.4,54.7,0.673239436619718
"126",6,2,57.2,53.6,0.622535211267606
"127",7,2,56.1,51,0.892957746478873
"128",2,2,56.2,53.1,0.4
"129",1,2,56.2,53.1,0.411267605633803
"130",3,2,53.1,37.1,0.552112676056338
"131",4,2,51,35.3,0.51830985915493
"132",5,2,53.1,44.5,0.425352112676056
"133",6,2,57.7,50.1,0.501408450704225
"134",2,2,54.6,45.2,0.352112676056338
"135",1,2,56.3,49.4,0.459154929577465
"136",3,2,57.5,54.5,0.777464788732394
"137",4,2,58,55.5,0.890140845070423
"138",5,2,57.8,55.1,0.532394366197183
"139",6,2,61.5,57.6,0.997183098591549
"140",7,2,61,58.7,0.808450704225352
"141",2,2,55.6,52.3,0.374647887323944
"142",1,2,50.2,41.8,0.208450704225352
"143",3,2,56.9,42.8,0.109859154929577
"144",4,2,56.6,49.6,0.859154929577465
"145",5,2,57.9,54.7,0.543661971830986
"146",6,2,60.9,56.2,0.856338028169014
"147",7,2,62,56.8,1
"148",2,4,60.9,57,0.704225352112676
"149",1,4,61.8,58.6,0.298591549295775
"150",3,4,60.8,59.8,0.91830985915493
"151",4,4,61.8,51,0.653521126760563
"152",5,4,58.6,45.6,0.614084507042253
"153",6,4,58.6,51,0.630985915492958
"154",2,4,62.3,59.6,0.535211267605634
"155",1,4,63.6,57.2,0.428169014084507
"156",3,4,62.2,56.1,0.684507042253521
"157",4,4,60.8,59.5,0.715492957746479
"158",5,4,64,55.9,0.659154929577465
"159",6,4,60.8,52.4,0.430985915492958
"160",7,4,55,50.7,0.87887323943662
"161",2,4,62.4,52.3,0.605633802816901
"162",1,4,61.3,57,0.270422535211268
"163",3,4,63.2,59.2,0.656338028169014
"164",4,4,60.9,58.6,0.653521126760563
"165",5,4,62.6,54.4,0.67887323943662
"166",6,4,60.6,53.1,0.845070422535211
"167",7,4,62,56.1,0.870422535211268
"168",2,4,63.4,58.5,0.614084507042253
"169",1,4,64.9,60.9,0.349295774647887
"170",3,4,66.8,64.5,0.842253521126761
"171",4,4,69.7,63.8,0.752112676056338
"172",5,4,69.5,64.6,0.676056338028169
"173",6,4,65.5,64,0.611267605633803
"174",7,4,66.1,64.8,0.63943661971831
"175",2,4,66.2,64.9,0.591549295774648
"176",1,4,65.4,64.2,0.11830985915493
"177",3,4,66.7,65.3,0.709859154929578
"178",4,4,67.7,65.5,0.619718309859155
"179",5,4,68.7,67.2,0.715492957746479
"180",6,4,69.8,68,0.16056338028169
"181",7,4,71.6,68.2,0.549295774647887
"182",2,4,73,69.2,0.380281690140845
"183",1,4,74.4,69.8,0.264788732394366
"184",3,4,72.6,68.9,0.664788732394366
"185",4,4,72.7,69.3,0.569014084507042
"186",5,4,71.1,69.7,0.656338028169014
"187",6,4,71.8,69.7,0.476056338028169
"188",7,4,69.4,67.8,0.614084507042253
"189",2,4,67.9,66.3,0.546478873239437
"190",1,4,72.9,70.5,0.253521126760563
"191",3,4,76.3,71.2,0.563380281690141
"192",4,4,77.4,68.4,0.566197183098592
"193",5,4,72.9,65.8,0.642253521126761
"194",6,4,75.6,69.6,0.71830985915493
"195",7,4,73.9,71.4,0.890140845070423
"196",2,4,74.5,71.7,0.47887323943662
"197",1,4,72.8,69.1,0.185915492957746
"198",3,4,68.3,65.9,0.591549295774648
"199",4,4,72.1,70,0.535211267605634
"200",5,4,74.9,71.6,0.535211267605634
"201",6,4,67.7,62.8,0.354929577464789
"202",7,4,66.1,64.4,0.664788732394366
"203",2,4,69.1,66.1,0.380281690140845
"204",1,4,69.8,68,0.292957746478873
"205",3,4,69.2,67.1,0.608450704225352
"206",4,4,71.2,64.3,0.571830985915493
"207",5,4,70.6,62.6,0.484507042253521
"208",6,4,68.9,64.7,0.738028169014085
"209",7,4,69.7,66,0.690140845070423
"210",2,4,69.3,66.1,0.312676056338028
"211",1,4,69.4,61.9,0.205633802816901
"212",3,4,68.1,54.5,0.461971830985915
"213",4,4,66.2,54.5,0.456338028169014
"214",5,4,64.5,55.9,0.357746478873239
"215",6,4,67.8,64,0.473239436619718
"216",7,4,70.7,68.8,0.557746478873239
"217",2,4,72.4,66.5,0.32112676056338
"218",1,4,69.5,56.7,0.28169014084507
"219",3,4,68.2,63.2,0.388732394366197
"220",4,4,67.8,66.7,0.48169014084507
"221",5,4,68.4,59.6,0.67887323943662
"222",6,4,67.2,52.7,0.614084507042253
"223",7,4,67.4,59.7,0.836619718309859
"224",2,4,67.3,59.8,0.346478873239437
"225",1,4,64.8,58.4,0.171830985915493
"226",3,4,65.5,60.8,0.228169014084507
"227",4,4,71,64.7,0.453521126760563
"228",5,4,70.3,66.7,0.509859154929577
"229",6,4,70.5,68.9,0.554929577464789
"230",7,4,70.6,65,0.71830985915493
"231",2,4,66.2,55.2,0.411267605633803
"232",1,4,64,54.6,0.219718309859155
"233",3,4,68.3,64.1,0.394366197183099
"234",4,4,68,66.6,0.352112676056338
"235",5,4,66.4,64.6,0.284507042253521
"236",6,4,65.7,63.7,0.538028169014084
"237",7,4,65,59.2,0.614084507042253
"238",2,4,69.4,67,0.27887323943662
"239",1,3,70.7,68.3,0.27887323943662
"240",3,3,70.8,68.7,0.140845070422535
"241",4,3,70.1,69,0.47887323943662
"242",5,3,68.5,61.9,0.628169014084507
"243",6,3,67.4,62.1,0.315492957746479
"244",7,3,60.3,47.8,0.402816901408451
"245",2,3,63.6,50.4,0.574647887323944
